Timestamp, Frame, Slot, IMSI, RNTI, UID, UE_No, DL_THR, UL_THR, ,PH_dB, PCMAX_dBm, AVG_RSRP, CQI, RI, raw_rssi, ul_rssi, dl_max_mcs, sched_ul_bytes, estimated_ul_buffer, num_total_bytes, dl_pdus_total, ,dl_BLER, dl_MCS, dlsch_errors, dlsch_total_bytes, dlsch_current_bytes, dlsch_total_rbs, dlsch_current_rbs, dl_num_mac_sdu, dl_lc4_bytes, dl_lc4_id, dl_lc4_sst,dl_lc4_sd, dl_lc5_bytes, dl_lc5_id, dl_lc5_sst,dl_lc5_sd, ,ul_BLER, ul_MCS, ulsch_errors, ulsch_total_bytes, ulsch_current_bytes, ulsch_total_rbs, ulsch_current_rbs, ul_num_mac_sdu, SNR, slice2_max_ratio, ,
0,117,5,0010100000107XX,8462,0,1,36.688118,176.959320, ,61,21,-99,0,1,704,0,28,92,0,58,0, ,0.05849,23,4,1904147,0,20557,0,3847,152950,1,1,000000,0,0,0,000000, ,0.15395,17,0,4103524,92,144395,10,4348,140,100, ,
1,117,6,0010100000107XX,8462,0,1,36.949772,176.916840, ,61,21,-99,0,1,704,0,28,92,0,3,0, ,0.05849,23,4,1904707,560,20562,5,3848,153008,1,1,000000,0,0,0,000000, ,0.15395,17,0,4103524,0,144395,0,4348,140,100, ,
2,117,10,0010100000107XX,8462,0,1,37.192688,176.828384, ,61,21,-99,0,1,704,0,28,92,0,0,0, ,0.05849,23,4,1905267,0,20567,0,3849,153011,1,1,000000,0,0,0,000000, ,0.15395,17,0,4103524,0,144395,0,4348,140,100, ,
3,117,12,0010100000107XX,8462,0,1,37.155502,176.828384, ,61,21,-99,0,1,704,0,28,92,0,0,0, ,0.05849,23,4,1905267,0,20567,0,3849,153011,1,1,000000,0,0,0,000000, ,0.15395,17,0,4103524,0,144395,0,4348,140,100, ,
4,117,13,0010100000107XX,8462,0,1,37.136925,176.828384, ,61,21,-99,0,1,710,0,28,0,0,58,0, ,0.05849,23,4,1905267,0,20567,0,3849,153011,1,1,000000,0,0,0,000000, ,0.15395,17,0,4103616,0,144395,0,4349,155,100, ,
6,117,17,0010100000107XX,8462,0,1,37.342281,176.819733, ,61,21,-99,0,1,710,0,28,934,0,0,0, ,0.05849,23,4,1905827,0,20572,0,3850,153069,1,1,000000,0,0,0,000000, ,0.15395,17,0,4103616,421,144425,10,4349,155,100, ,
7,117,19,0010100000107XX,8462,0,1,37.342281,176.819733, ,61,21,-99,0,1,710,0,28,934,0,0,0, ,0.05849,23,4,1905827,0,20572,0,3850,153069,1,1,000000,0,0,0,000000, ,0.15395,17,0,4103616,421,144425,10,4349,155,100, ,
8,118,1,0010100000107XX,8462,0,1,37.304947,176.819733, ,61,21,-99,0,1,710,0,28,934,0,0,0, ,0.05849,23,4,1905827,0,20572,0,3850,153069,1,1,000000,0,0,0,000000, ,0.15395,17,0,4103616,421,144425,10,4349,155,100, ,
9,118,3,0010100000107XX,8462,0,1,37.267651,176.819733, ,61,21,-99,0,1,710,0,28,842,0,0,0, ,0.05849,23,4,1905827,0,20572,0,3850,153069,1,1,000000,0,0,0,000000, ,0.15395,17,0,4103708,421,144425,10,4349,155,100, ,
10,118,4,0010100000107XX,8462,0,1,37.249016,176.819733, ,61,21,-99,0,1,704,0,28,421,0,0,0, ,0.05849,23,4,1905827,0,20572,0,3850,153069,1,1,000000,0,0,0,000000, ,0.15395,17,0,4104129,421,144425,10,4349,140,100, ,
11,118,7,0010100000107XX,8462,0,1,37.193165,176.975311, ,61,21,-99,0,1,689,0,28,421,0,0,0, ,0.05849,23,4,1905827,0,20572,0,3850,153069,1,1,000000,0,0,0,000000, ,0.15395,17,0,4104129,0,144425,0,4349,125,100, ,
12,118,10,0010100000107XX,8462,0,1,37.174568,176.975311, ,61,21,-99,0,1,689,0,28,421,0,0,0, ,0.05849,23,4,1905827,0,20572,0,3850,153069,1,1,000000,0,0,0,000000, ,0.15395,17,0,4104129,0,144425,0,4349,125,100, ,
13,118,12,0010100000107XX,8462,0,1,37.137402,176.975311, ,61,21,-99,0,1,689,0,28,421,0,0,0, ,0.05849,23,4,1905827,0,20572,0,3850,153069,1,1,000000,0,0,0,000000, ,0.15395,17,0,4104129,0,144425,0,4349,125,100, ,
14,118,14,0010100000107XX,8462,0,1,37.100273,176.975311, ,61,21,-99,0,1,704,0,28,0,0,0,0, ,0.05849,23,4,1905827,0,20572,0,3850,153069,1,1,000000,0,0,0,000000, ,0.15395,17,0,4104550,0,144425,0,4349,150,100, ,
15,118,16,0010100000107XX,8462,0,1,37.063179,176.844376, ,61,21,-99,0,1,704,0,28,513,0,0,0, ,0.05849,23,4,1905827,0,20572,0,3850,153069,1,1,000000,0,0,0,000000, ,0.15395,17,0,4104550,421,144445,10,4349,150,100, ,
17,118,19,0010100000107XX,8462,0,1,37.044647,176.966446, ,61,21,-99,0,1,704,0,28,934,0,0,0, ,0.05849,23,4,1905827,0,20572,0,3850,153069,1,1,000000,0,0,0,000000, ,0.15395,17,0,4104550,421,144455,10,4349,150,100, ,
18,119,1,0010100000107XX,8462,0,1,37.007610,176.966446, ,61,21,-99,0,1,704,0,28,934,0,0,0, ,0.05849,23,4,1905827,0,20572,0,3850,153069,1,1,000000,0,0,0,000000, ,0.15395,17,0,4104550,421,144455,10,4349,150,100, ,
19,119,2,0010100000107XX,8462,0,1,36.989105,176.966446, ,61,21,-99,0,1,704,0,28,934,0,0,0, ,0.05849,23,4,1905827,0,20572,0,3850,153069,1,1,000000,0,0,0,000000, ,0.15395,17,0,4104550,421,144455,10,4349,150,100, ,
