Timestamp, Frame, Slot, IMSI, RNTI, UID, UE_No, DL_THR, UL_THR, ,PH_dB, PCMAX_dBm, AVG_RSRP, CQI, RI, raw_rssi, ul_rssi, dl_max_mcs, sched_ul_bytes, estimated_ul_buffer, num_total_bytes, dl_pdus_total, ,dl_BLER, dl_MCS, dlsch_errors, dlsch_total_bytes, dlsch_current_bytes, dlsch_total_rbs, dlsch_current_rbs, dl_num_mac_sdu, dl_lc4_bytes, dl_lc4_id, dl_lc4_sst,dl_lc4_sd, dl_lc5_bytes, dl_lc5_id, dl_lc5_sst,dl_lc5_sd, ,ul_BLER, ul_MCS, ulsch_errors, ulsch_total_bytes, ulsch_current_bytes, ulsch_total_rbs, ulsch_current_rbs, ul_num_mac_sdu, SNR, slice2_max_ratio, ,
0,816,0,0010100000107XX,4251,1,1,19.884945,159.436234, ,59,21,-102,0,1,710,0,28,934,0,0,0, ,0.15828,15,156,30843339,0,483949,0,87191,3013814,1,1,000000,0,0,0,000000, ,0.09054,9,0,98605500,421,3783700,10,126977,150,100, ,
1,816,2,0010100000107XX,4251,1,1,19.865065,159.436234, ,59,21,-102,0,1,710,0,28,934,0,0,0, ,0.15828,15,156,30843339,0,483949,0,87191,3013814,1,1,000000,0,0,0,000000, ,0.09054,9,0,98605500,421,3783700,10,126977,150,100, ,
2,816,4,0010100000107XX,4251,1,1,19.845203,159.436234, ,59,21,-102,0,1,697,0,28,842,276,0,0, ,0.15828,15,156,30843339,0,483949,0,87191,3013814,1,1,000000,0,0,0,000000, ,0.09054,9,0,98605592,421,3783700,10,126978,145,100, ,
3,816,6,0010100000107XX,4251,1,1,19.825361,159.697723, ,59,21,-102,0,1,710,0,28,421,0,0,0, ,0.15828,15,156,30843339,0,483949,0,87191,3013814,1,1,000000,0,0,0,000000, ,0.09054,9,0,98606013,0,3783700,0,126978,145,100, ,
5,816,9,0010100000107XX,4251,1,1,19.815449,159.617874, ,59,21,-102,0,1,710,0,28,421,0,0,0, ,0.15828,15,156,30843339,0,483949,0,87191,3013814,1,1,000000,0,0,0,000000, ,0.09054,9,0,98606013,0,3783700,0,126978,145,100, ,
6,816,11,0010100000107XX,4251,1,1,19.795637,159.617874, ,59,21,-102,0,1,710,0,28,421,0,0,0, ,0.15828,15,156,30843339,0,483949,0,87191,3013814,1,1,000000,0,0,0,000000, ,0.09054,9,0,98606013,0,3783700,0,126978,145,100, ,
7,816,13,0010100000107XX,4251,1,1,19.775845,159.617874, ,65,21,-102,0,1,704,0,28,0,0,0,0, ,0.15828,15,156,30843339,0,483949,0,87191,3013814,1,1,000000,0,0,0,000000, ,0.09054,9,0,98606434,0,3783700,0,126979,150,100, ,
8,816,15,0010100000107XX,4251,1,1,19.756073,159.538055, ,65,21,-102,0,1,704,0,28,0,0,58,0, ,0.15828,15,156,30843339,0,483949,0,87191,3013814,1,1,000000,0,0,0,000000, ,0.09054,9,0,98606434,0,3783700,0,126979,150,100, ,
9,816,16,0010100000107XX,4251,1,1,19.920694,159.458282, ,65,21,-102,0,1,704,0,28,421,0,3,0, ,0.15828,15,156,30843688,349,483954,5,87192,3013872,1,1,000000,0,0,0,000000, ,0.09054,9,0,98606434,421,3783710,10,126979,150,100, ,
10,817,0,0010100000107XX,4251,1,1,20.075191,159.589050, ,65,21,-102,0,1,704,0,28,842,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98606434,421,3783720,10,126979,150,100, ,
11,817,2,0010100000107XX,4251,1,1,20.055120,159.589050, ,65,21,-102,0,1,704,0,28,842,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98606434,421,3783720,10,126979,150,100, ,
12,817,3,0010100000107XX,4251,1,1,20.045092,159.589050, ,65,21,-102,0,1,704,0,28,842,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98606434,421,3783720,10,126979,150,100, ,
13,817,6,0010100000107XX,4251,1,1,20.015038,159.850388, ,65,21,-102,0,1,697,0,28,421,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98606855,0,3783720,0,126980,140,100, ,
14,817,8,0010100000107XX,4251,1,1,20.005030,159.770462, ,65,21,-102,0,1,697,0,28,421,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98606855,0,3783720,0,126980,140,100, ,
16,817,11,0010100000107XX,4251,1,1,19.985029,159.770462, ,65,21,-102,0,1,697,0,28,421,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98606855,0,3783720,0,126980,140,100, ,
17,817,12,0010100000107XX,4251,1,1,19.975037,159.770462, ,65,21,-102,0,1,697,0,28,421,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98606855,0,3783720,0,126980,140,100, ,
18,817,15,0010100000107XX,4251,1,1,19.945087,159.690567, ,65,21,-102,0,1,704,0,28,92,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98607276,92,3783730,10,126980,150,100, ,
19,817,17,0010100000107XX,4251,1,1,19.925146,159.787384, ,65,21,-102,0,1,704,0,28,934,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98607276,421,3783750,10,126980,150,100, ,
20,817,19,0010100000107XX,4251,1,1,19.925146,159.787384, ,65,21,-102,0,1,704,0,28,934,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98607276,421,3783750,10,126980,150,100, ,
21,818,1,0010100000107XX,4251,1,1,19.905224,159.787384, ,65,21,-102,0,1,704,0,28,934,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98607276,421,3783750,10,126980,150,100, ,
22,818,3,0010100000107XX,4251,1,1,19.885323,159.787384, ,65,21,-102,0,1,704,0,28,934,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98607276,421,3783750,10,126980,145,100, ,
23,818,6,0010100000107XX,4251,1,1,19.855509,159.884018, ,65,21,-102,0,1,704,0,28,934,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98607276,421,3783750,10,126980,130,100, ,
24,818,8,0010100000107XX,4251,1,1,19.845581,160.014572, ,65,21,-102,0,1,704,0,28,934,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98607276,421,3783750,10,126980,130,100, ,
25,818,10,0010100000107XX,4251,1,1,19.835657,160.014572, ,65,21,-102,0,1,704,0,28,934,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98607276,421,3783750,10,126980,130,100, ,
26,818,12,0010100000107XX,4251,1,1,19.815826,160.014572, ,65,21,-102,0,1,704,0,28,934,0,0,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98607276,421,3783750,10,126980,130,100, ,
27,818,14,0010100000107XX,4251,1,1,19.796015,160.014572, ,59,21,-102,0,1,704,0,28,421,0,6,0, ,0.15828,15,156,30844037,0,483959,0,87193,3013875,1,1,000000,0,0,0,000000, ,0.09054,9,0,98607789,421,3783750,10,126982,145,100, ,
28,818,17,0010100000107XX,4251,1,1,19.950636,160.195450, ,59,21,-102,0,1,704,0,28,842,0,0,0, ,0.15828,15,156,30844386,0,483964,0,87195,3013878,1,1,000000,0,0,0,000000, ,0.09054,9,0,98608210,421,3783770,10,126982,150,100, ,
29,818,19,0010100000107XX,4251,1,1,19.940660,160.195450, ,59,21,-102,0,1,704,0,28,842,0,0,0, ,0.15828,15,156,30844386,0,483964,0,87195,3013878,1,1,000000,0,0,0,000000, ,0.09054,9,0,98608210,421,3783770,10,126982,150,100, ,
